"nom","adresse","cp","ville"
"BIO BEARN","41 Av FOUCHET","64000","PAU"
"CAP NATURE","10 RUE PONTCOTTIER","38300","BOURGOIN JALLIEU"
"L'ODYSSEE BIO  .","6 Avenue du Bataillon","21200","BEAUNE"
"AU GRAIN DE BLE NATURE CONSEILS","25 RUE GAMBETTA","42000","ST ETIENNE"
"REGIME ET SANTE","30 RUE CHAUSSADE","43000","LE PUY EN VELAY"
"BIOAZUR","273 RUE DU ROC","81000","ALBI"
"DIETETIQUE 81","5 RUE ARAGO","81400","CARMAUX"
"PROMOVERT","132 GRANDE RUE","73600","MOUTIERS"
"BIOPHARE  BIO-SATHYA","6 AV. DE RUSSIE","03700","BELLERIVE SUR ALLIER"
"NATURALIA","45 COURS FRANKLIN ROOSEVELT","69006","LYON"
"L'OR DE LA TERRE","PARC DES CROZES SUD","26270","LORIOL SUR DROME"
"LE  PANIER DE NAÏS","QUARTIER DES LONNES RD 26","26130","ST PAUL TROIS CHATEAUX"
"MAGASIN COOPERATIVE HERMES","127 AVENUE DU PRESIDENT WILSON","10120","SAINT ANDRE LES VERGERS"
"LORN'BIO","7 RUE PAUL KALLER","54200","TOUL"
"LA VIE CLAIRE  RILLIEUX LA PAPE","225   AVENUE DE L'HIPPODROME","69140","RILLIEUX LA PAPE"
"SARL CENTRALE CROC NATURE","Z.A  25 RUE DE LA GARE","25770","SERRE LES SAPINS"
"TOUT POUR LA SANTE","2 RUE MARECHAL  JOFFRE","57100","THIONVILLE"
"LE MAGASIN BIO","1160 ROUTE D'AIX","74540","ALBY SUR CHERAN"
"LA VIE CLAIRE( SARL La Fleur de Vie )","324 ROUTE DE CHABLAIS
  Z;A LES GRANDS CHAMPS","74140","VEIGY FONCENEX"
"TERRE BIO","6 Bd  G.ANDRIER","74200","THONON LES BAINS"
"DIET ET BIO","14 RUE LAFAYETTE","39000","LONS LE SAUNIER"
"BIOCOOP   LES ARTISONS","32 RUE DORIAN","42700","FIRMINY"
"LE GRAIN D'ORGE","109 GRANDE RUE","69600","OULLINS"
"Le Moulin DOZOL -AUTRAND","PONT ROMAN","26110","NYONS"
"AMARANTHE","26 RUE EINSTEIN","03100","MONTLUCON"
"LA RUE AUX HERBES","32 Bd  de la Republique","47000","AGEN"
"BIOCOOP AIX LES BAINS","ZA. LE PONTET
 ALLEE DES ERABLES","73420","DRUMETTAZ"
"MAG'BIO","10 Bd. KENNEDY","01000","BOURG EN BRESSE"
"BIOCOOP VELAY NATURE","ZA LES MOLETONS
RUE DES PRUNIERS","43120","MONISTROL SUR LOIRE"
"AU TEMPS DES FEES","12 Bd THIERS","38000","GRENOBLE"
"BIOCOOP L'EPICEA","278 Av. du Gal DE GAULLE","16800","SOYAUX"
"ESPRIT NATURE","13 RUE EMILE COMBES","17800","PONS"
"COOP NATURE TOURS CENTRE","17 RUE CHALMEL","37000","TOURS"
"EQUILIBRE DIETETIQUE","1 BIS AVENUE  General DE GAULLE","29270","CARHAIX"
"BIOASIS","21 RUE DES AMIDONNIERS","31000","TOULOUSE"
"MAISON D'ANTAN","69 AV. MARECHAL FOCH","34500","BEZIERS"
"ESPACE BIO NATURE","zac. GRAY sud - RUE PICARD","70100","GRAY"
"LA VIE CLAIRE       BELLEY","22 RUE DE LA REPUBLIQUE","01300","BELLEY"
"RESO BIO","9013  AVENUE D'ESPAGNE","66000","PERPIGNAN"
"ODOBIO","Z.I DU PONT ROUGE","11000","CARCASSONNE"
"BIOCOOP COSMOS","12 AVENUE DE PRADES","66000","PERPIGNAN"
"CHLOROPHYLLE -CENTRALE-","147 ROUTE DES SORINIERES","44400","REZE LES NANTES"
"COIN NATURE","ZAC TERRASSES DE LA SARRE
8 TERRASSE CHAMPAGNE","57400","SARREBOURG"
"FIGGICO BIO  SUPER ECO BIO","Z.A CAP SUD","36250","SAINT MAUR"
"HUILERIE VIGEAN","11 RUE DES VARENNES","36700","CLION SUR  INDRE"
